Module,trait,rho,p,bonferroni
934,sweet,-0.801188721567574,5.88350705993504e-27,2.65993354179663e-23
1044,sweet,-0.851605107997893,1.75564233695359e-33,7.93725900536718e-30
1187,sweet,-0.874704880105402,2.42893443999529e-37,1.09812126032187e-33
1190,sweet,-0.809932288821549,6.02942003033693e-28,2.72590079571533e-24
1195,sweet,-0.849509234297507,3.64608076113582e-33,1.6483931121095e-29
1250,sweet,-0.813849216510301,2.09085170167996e-28,9.45274054329511e-25
1339,sweet,-0.862617243015107,3.10804935540594e-35,1.40514911357903e-31
1368,sweet,0.894318795290738,2.84432309485875e-41,1.28591847118564e-37
1378,sweet,-0.83849542345359,1.42539709276831e-31,6.44422025640553e-28
1493,sweet,-0.821931204063429,2.16809171470811e-29,9.80194264219535e-26
1516,sweet,-0.825396071916323,7.92057148045036e-30,3.58089036631161e-26
1559,sweet,-0.869799908671628,1.84406646896134e-36,8.33702450617424e-33
1761,sweet,0.844672932568156,1.88866904969515e-32,8.53867277367176e-29
1780,sweet,0.820917339177109,2.89904306743359e-29,1.31065737078672e-25
1849,sweet,0.885894742494929,1.7003324064078e-39,7.68720280936968e-36
1886,sweet,0.881263678013796,1.40810118479846e-38,6.36602545647385e-35
1925,sweet,0.806333425242515,1.56166377521363e-27,7.06028192774084e-24
1937,sweet,0.869191869206394,2.35731530419794e-36,1.06574224902789e-32
1983,sweet,0.841150547734886,6.04306922851884e-32,2.73207159821337e-28
2157,sweet,0.824141645274349,1.14337977766098e-29,5.16921997480527e-26
2216,sweet,0.844356966832101,2.0988182135747e-32,9.48875714357124e-29
2248,sweet,0.833182340826392,7.58308693953701e-31,3.42831360536468e-27
2277,sweet,0.867879776493548,3.98777878168209e-36,1.80287478719847e-32
2294,sweet,0.865298926053544,1.10348687421199e-35,4.98886415831242e-32
2302,sweet,0.836474342805897,2.71099982256944e-31,1.22564301978364e-27
2306,sweet,0.832534438575985,9.26016455785e-31,4.18652039660399e-27
2374,sweet,0.820194065921679,3.56271976979032e-29,1.61070560792221e-25
2400,sweet,0.808402741148416,9.05739795433377e-28,4.0948496151543e-24
2409,sweet,0.801715819410711,5.14512688389729e-27,2.32611186420996e-23
2518,sweet,0.822517259119757,1.83137299272656e-29,8.2796373001168e-26
2677,sweet,0.82853206319992,3.12286486332355e-30,1.41184720470858e-26
2793,sweet,0.817011658131417,8.72939990860879e-29,3.94656169868203e-25
2804,sweet,0.852647705246211,1.21541381784763e-33,5.49488587048916e-30
2807,sweet,0.894318795290738,2.84432309485875e-41,1.28591847118564e-37
2888,sweet,0.841949369535305,4.65364235171915e-32,2.10391170721223e-28
2914,sweet,0.83404147069114,5.81043007080721e-31,2.62689543501194e-27
2929,sweet,0.83607142793438,3.07846415284181e-31,1.39177364349978e-27
3041,sweet,0.819093090328022,4.86735270872466e-29,2.20053015961442e-25
3230,sweet,-0.869959659422614,1.72850123433344e-36,7.81455408042148e-33
3240,sweet,0.824353226304614,1.07494920179434e-29,4.85984534131219e-26
3249,sweet,-0.824770266647624,9.51597016589057e-30,4.30217011199913e-26
3361,sweet,0.851257314690143,1.98354220294987e-33,8.96759429953636e-30
3512,sweet,0.809129730074352,7.46799138596031e-28,3.37627890559266e-24
3521,sweet,0.858423837373468,1.50321826542032e-34,6.79604977796529e-31
3571,sweet,0.847934396325488,6.26837356949336e-33,2.83393169076795e-29
3581,sweet,0.824033767856639,1.17989227913013e-29,5.33429299394732e-26
3590,sweet,0.85332251755479,9.56520760448047e-34,4.32443035798562e-30
3621,sweet,0.862209263449303,3.63139744892193e-35,1.64175478665761e-31
3657,sweet,0.822239504763196,1.98404021491306e-29,8.96984581162193e-26
3682,sweet,0.88944069277097,3.16443198175795e-40,1.43063969895277e-36
3899,sweet,0.872367333951783,6.44913164679838e-37,2.91565241751755e-33
3918,sweet,0.904635964391299,1.15276273882452e-43,5.21164034222566e-40
3938,sweet,0.806698780528906,1.41913632986687e-27,6.41591534732811e-24
4014,sweet,0.860519693488018,6.88145498270873e-35,3.11110579768262e-31
4120,sweet,0.850031945852576,3.04174267589694e-33,1.37517186377301e-29
4139,sweet,0.805674308348722,1.8550121997437e-27,8.38651015504125e-24
4172,sweet,0.80774780365053,1.07694140954303e-27,4.86885211254402e-24
4206,sweet,0.841699864433902,5.05010208812329e-32,2.28315115404054e-28
4235,sweet,0.841699864433902,5.05010208812329e-32,2.28315115404054e-28
