Gene	Family
k25_RTx430_TRINITY_GG_23318_c16_g1_i1.p1	GRAS	TFF
k25_Rio_TRINITY_GG_3836_c20_g1_i1.p1	WRKY	TFF
k25_BTx623_TRINITY_GG_18715_c2_g1_i2.p1	WRKY	TFF
k25_Rio_TRINITY_GG_9784_c0_g1_i47.p1	Sigma70-like	TFF
k25_BTx623_TRINITY_GG_9004_c0_g1_i1.p1	HMG	OTR
k25_BTx623_TRINITY_GG_15462_c4_g1_i1.p1	PHD	OTR
k31_Tx378_TRINITY_DN12377_c0_g1_i1.p2	TCP	TFF
k25_BTx623_TRINITY_GG_10602_c3_g1_i1.p1	PAS	TFF
k31_RTx430_TRINITY_GG_18349_c7_g1_i100.p1	zf-C5HC2	TFF
k25_Rio_TRINITY_GG_21142_c12_g1_i3.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_13293_c1_g1_i52.p1	C3H	TFF
k25_BTx623_TRINITY_GG_18596_c0_g1_i38.p1	ARF	TFF
k25_BTx623_TRINITY_GG_3101_c0_g2_i2.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_10859_c16_g1_i9.p2	WRKY	TFF
k25_RTx430_TRINITY_GG_5212_c0_g1_i1.p1	TRAF	OTR
k25_Rio_TRINITY_GG_1256_c0_g1_i7.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_384_c7_g1_i29.p1	bZIP	TFF
k25_BTx623_TRINITY_GG_19585_c0_g1_i2.p1	WRKY	TFF
keller_TRINITY_DN7780_c2_g2_i1.p1	BSD	TFF
k25_BTx623_TRINITY_GG_15009_c15_g1_i2.p1	HB	TFF
k25_BTx623_TRINITY_GG_13399_c8_g1_i4.p2	ARR-B	TFF
k25_BTx623_TRINITY_GG_4960_c23_g1_i3.p1	Orphans	Orphans
k31_Tx3362_TRINITY_DN4038_c0_g3_i1.p1	C3H	TFF
k25_Rio_TRINITY_GG_5272_c0_g1_i1.p2	LIM	TFF
k25_Rio_TRINITY_GG_6236_c0_g1_i1.p1	AUX/IAA	OTR
k25_Tx3362_TRINITY_DN3318_c0_g4_i1.p1	Orphans	Orphans
k31_Tx2737_TRINITY_DN10818_c0_g1_i1.p1	bHLH	TFF
k25_BTx623_TRINITY_GG_14152_c9_g1_i19.p1	ARF	TFF
k25_BTx623_TRINITY_GG_16871_c30_g1_i4.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_24_c3_g1_i11.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_2631_c15_g1_i9.p4	PHD	OTR
k25_BTx623_TRINITY_GG_13039_c11_g1_i29.p2	AUX/IAA	OTR
k31_BTx623_TRINITY_GG_10449_c16_g1_i10.p1	WRKY	TFF
k25_BTx623_TRINITY_GG_14999_c2_g1_i4.p1	SWI/SNF-SWI3	OTR
k25_Rio_TRINITY_GG_3338_c0_g1_i7.p3	MYB	TFF
k25_RTx430_TRINITY_GG_19447_c24_g1_i8.p1	bHLH	TFF
k25_Rio_TRINITY_GG_23476_c0_g1_i3.p1	MYB	TFF
k31_BTx623_TRINITY_GG_9609_c23_g1_i53.p2	ABI3VP1	TFF
k25_Rio_TRINITY_GG_27032_c5_g1_i52.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_25009_c2_g1_i28.p4	Orphans	Orphans
k25_BTx623_TRINITY_GG_16881_c0_g1_i35.p1	bHLH	TFF
k25_Rio_TRINITY_GG_27137_c0_g1_i98.p1	ABI3VP1	TFF
k25_Rio_TRINITY_GG_12974_c0_g1_i19.p2	bHLH	TFF
k31_BAZ9504_TRINITY_DN12225_c0_g1_i1.p2	MYB-related	TFF
k31_BTx623_TRINITY_GG_15905_c5_g1_i4.p1	FHA	TFF
k25_BTx623_TRINITY_GG_6519_c13_g1_i50.p1	MADS	TFF
k31_Tx3362_TRINITY_DN10703_c0_g1_i4.p1	RWP-RK	TFF
k25_BTx623_TRINITY_GG_3568_c4_g1_i50.p1	BES1	TFF
k25_Rio_TRINITY_GG_11843_c3_g1_i12.p1	ABI3VP1	TFF
k31_RTx430_TRINITY_GG_24337_c1_g1_i2.p1	Jumonji	OTR
k25_Tx378_TRINITY_DN9525_c1_g1_i1.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_17174_c7_g2_i1.p1	NAC	TFF
k25_BTx623_TRINITY_GG_19824_c25_g1_i7.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_7301_c0_g1_i1.p1	bZIP	TFF
k25_Tx3362_TRINITY_DN6556_c0_g2_i2.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_10626_c0_g1_i7.p1	GRF	TFF
k25_RTx430_TRINITY_GG_25677_c0_g1_i23.p1	zf-C5HC2	TFF
k25_BTx623_TRINITY_GG_10628_c4_g1_i2.p1	WRKY	TFF
k25_BTx623_TRINITY_GG_4012_c20_g1_i7.p1	GNAT	OTR
k25_BTx623_TRINITY_GG_893_c0_g1_i102.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_6503_c10_g1_i12.p2	PHD	OTR
k25_RTx430_TRINITY_GG_22739_c3_g1_i37.p1	bZIP	TFF
k25_RTx430_TRINITY_GG_10244_c15_g1_i4.p2	zf-HD	TFF
k25_RTx430_TRINITY_GG_16509_c1_g1_i37.p1	TIG	TFF
k25_BTx623_TRINITY_GG_4120_c39_g2_i9.p1	bZIP	TFF
k25_BTx623_TRINITY_GG_19117_c1_g2_i5.p1	bHLH	TFF
k25_RTx430_TRINITY_GG_3917_c3_g1_i43.p1	HB	TFF
k25_BTx623_TRINITY_GG_16874_c141_g1_i3.p1	MYB-related	TFF
k25_RTx430_TRINITY_GG_12471_c6_g1_i11.p1	Rcd1-like	OTR
k25_Tx3362_TRINITY_DN3419_c2_g2_i2.p1	Jumonji	OTR
k25_RTx430_TRINITY_GG_20741_c0_g1_i15.p1	MBF1	OTR
k31_BTx623_TRINITY_GG_17513_c2_g1_i27.p1	bZIP	TFF
k25_BTx623_TRINITY_GG_13022_c49_g2_i1.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_21680_c0_g1_i1.p1	TRAF	OTR
k31_BTx623_TRINITY_GG_18583_c0_g1_i25.p1	PHD	OTR
k25_RTx430_TRINITY_GG_4422_c2_g1_i15.p1	CCAAT	TFF
k25_Mota_Maradi_TRINITY_DN118867_c0_g1_i1.p1	mTERF	OTR
k31_RTx430_TRINITY_GG_26077_c0_g1_i15.p1	NAC	TFF
k25_Tx3362_TRINITY_DN14913_c1_g2_i1.p1	Orphans	Orphans
SC187_TRINITY_DN401_c0_g2_i1.p1	bHLH	TFF
keller_TRINITY_DN23022_c0_g1_i3.p1	bHLH	TFF
k25_BTx623_TRINITY_GG_6728_c0_g1_i23.p1	MYB-related	TFF
k25_Rio_TRINITY_GG_18082_c0_g1_i1.p2	C3H	TFF
k31_BTx623_TRINITY_GG_6344_c74_g1_i20.p1	SET	OTR
k25_RTx430_TRINITY_GG_25801_c0_g1_i7.p1	bHLH	TFF
k25_Tx3362_TRINITY_DN5957_c0_g5_i3.p2	AP2-EREBP	TFF
k31_BTx623_TRINITY_GG_13219_c36_g1_i2.p3	MADS	TFF
k25_RTx430_TRINITY_GG_21063_c5_g1_i16.p1	NAC	TFF
k25_RTx430_TRINITY_GG_24261_c0_g1_i10.p2	SET	OTR
k25_RTx430_TRINITY_GG_5203_c1_g1_i17.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_18841_c0_g1_i10.p1	Jumonji	OTR
k25_Mota_Maradi_TRINITY_DN26457_c0_g1_i1.p1	SET	OTR
k25_Rio_TRINITY_GG_13661_c0_g1_i77.p1	AP2-EREBP	TFF
k25_BTx623_TRINITY_GG_3708_c15_g1_i6.p1	MADS	TFF
k25_BTx623_TRINITY_GG_18089_c0_g1_i7.p1	MYB-related	TFF
TAM428_TRINITY_DN1825_c0_g2_i1.p1	MED26	OTR
k25_BTx623_TRINITY_GG_16880_c41_g1_i2.p1	SRS	TFF
k25_BTx623_TRINITY_GG_12843_c5_g1_i4.p1	zf-BED	TFF
k31_BTx623_TRINITY_GG_9609_c98_g1_i4.p1	WRKY	TFF
SC187_TRINITY_DN2470_c0_g1_i1.p1	SET	OTR
k25_BTx623_TRINITY_GG_13033_c4_g1_i55.p1	ARF	TFF
k25_RTx430_TRINITY_GG_23283_c0_g1_i1.p1	FAR1	TFF
k25_Rio_TRINITY_GG_10316_c9_g1_i1.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_6509_c35_g1_i1.p1	bZIP	TFF
k25_Tx378_TRINITY_DN13015_c3_g1_i1.p1	Tify	TFF
k25_RTx430_TRINITY_GG_26079_c9_g1_i1.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_13291_c18_g1_i2.p2	bHLH	TFF
k31_BTx623_TRINITY_GG_13978_c5_g1_i112.p1	MADS	TFF
k31_RTx430_TRINITY_GG_21769_c24_g1_i1.p6	FHA	TFF
k31_Rio_TRINITY_GG_27613_c0_g1_i1.p1	NAC	TFF
k25_R9188_TRINITY_DN3409_c0_g3_i1.p1	bHLH	TFF
SC187_TRINITY_DN15805_c0_g1_i1.p1	ARR-B	TFF
k25_BTx623_TRINITY_GG_6067_c7_g1_i21.p4	AP2-EREBP	TFF
k25_BTx623_TRINITY_GG_13967_c32_g1_i2.p1	bHLH	TFF
k25_Della_TRINITY_DN13904_c0_g1_i2.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_10310_c53_g1_i3.p1	GRAS	TFF
k25_BTx623_TRINITY_GG_9763_c302_g1_i1.p1	GRAS	TFF
k25_Rio_TRINITY_GG_2209_c1_g1_i29.p2	TRAF	OTR
k25_RTx430_TRINITY_GG_12243_c1_g1_i11.p1	GNAT	OTR
k25_BTx623_TRINITY_GG_1644_c0_g1_i1.p1	PAS	TFF
k31_Rio_TRINITY_GG_10621_c0_g1_i17.p1	MED26	OTR
k31_BAZ9504_TRINITY_DN7170_c0_g3_i2.p1	WRKY	TFF
k31_Tx3362_TRINITY_DN6694_c0_g2_i2.p1	PHD	OTR
k25_RTx430_TRINITY_GG_23830_c0_g1_i72.p1	C3H	TFF
k25_BTx623_TRINITY_GG_8434_c1_g1_i3.p1	TUB	TFF
k25_Tx3362_TRINITY_DN30247_c0_g7_i1.p1	MADS	TFF
k25_BTx623_TRINITY_GG_8301_c0_g1_i68.p1	bZIP	TFF
k25_Tx3362_TRINITY_DN9195_c2_g2_i3.p2	PHD	OTR
k25_Rio_TRINITY_GG_24795_c0_g1_i5.p1	SWI/SNF-BAF60b	OTR
k25_BTx623_TRINITY_GG_19142_c3_g1_i8.p1	MYB-related	TFF
k31_BTx623_TRINITY_GG_383_c16_g1_i12.p1	HB	TFF
k31_BTx623_TRINITY_GG_19823_c3_g1_i12.p2	FAR1	TFF
k25_BTx623_TRINITY_GG_11750_c17_g1_i7.p1	MYB-related	TFF
k25_Tx378_TRINITY_DN10098_c0_g3_i1.p1	SET	OTR
k25_RTx430_TRINITY_GG_9637_c0_g1_i2.p3	SET	OTR
k25_RTx430_TRINITY_GG_9791_c5_g1_i5.p2	WRKY	TFF
k25_BTx623_TRINITY_GG_10821_c31_g1_i4.p1	Jumonji	OTR
k25_BTx623_TRINITY_GG_9757_c95_g1_i1.p1	OFP	TFF
k25_BTx623_TRINITY_GG_16903_c12_g1_i1.p1	MYB	TFF
k31_BTx623_TRINITY_GG_13201_c27_g1_i11.p1	SWI/SNF-BAF60b	OTR
keller_TRINITY_DN773_c0_g3_i1.p1	MADS	TFF
M35-1_TRINITY_DN8911_c0_g3_i1.p2	HB	TFF
k25_Rio_TRINITY_GG_4595_c1_g1_i11.p1	Orphans	Orphans
k31_RTx430_TRINITY_GG_7099_c4_g1_i6.p1	WRKY	TFF
k31_BTx623_TRINITY_GG_1616_c20_g1_i4.p2	GRAS	TFF
k31_BTx623_TRINITY_GG_6310_c0_g1_i6.p1	PHD	OTR
k31_Tx3362_TRINITY_DN13717_c0_g3_i2.p1	NAC	TFF
k25_BTx623_TRINITY_GG_388_c9_g1_i35.p1	bHLH	TFF
k31_RTx430_TRINITY_GG_11648_c0_g1_i1.p1	zf-BED	TFF
k25_RTx430_TRINITY_GG_3265_c0_g1_i11.p1	HB	TFF
k25_RTx430_TRINITY_GG_11280_c1_g1_i58.p1	MYB-related	TFF
k25_RTx430_TRINITY_GG_17490_c0_g1_i26.p1	C3H	TFF
k25_BTx623_TRINITY_GG_13410_c23_g1_i24.p1	ARF	TFF
k31_BTx623_TRINITY_GG_13968_c4_g1_i83.p1	bHLH	TFF
k25_BTx623_TRINITY_GG_833_c2_g1_i1.p1	Tify	TFF
TAM428_TRINITY_DN3619_c0_g2_i1.p1	MADS	TFF
k25_BTx623_TRINITY_GG_10602_c3_g1_i13.p1	PAS	TFF
k25_RTx430_TRINITY_GG_13841_c1_g1_i1.p1	bZIP	TFF
k25_RTx430_TRINITY_GG_2431_c16_g2_i2.p1	ABI3VP1	TFF
k25_R9188_TRINITY_DN8457_c0_g1_i2.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_6997_c0_g1_i2.p3	TRAF	OTR
k25_BTx623_TRINITY_GG_2983_c3_g1_i54.p5	ARF	TFF
SC187_TRINITY_DN22258_c0_g1_i2.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_13585_c0_g1_i34.p1	Orphans	Orphans
k31_Rio_TRINITY_GG_10847_c0_g1_i14.p1	Orphans	Orphans
k31_BTx623_TRINITY_GG_10671_c20_g1_i3.p1	E2F-DP	TFF
k25_BTx623_TRINITY_GG_10912_c0_g1_i1.p1	MYB-related	TFF
M35-1_TRINITY_DN6382_c0_g1_i2.p3	MYB-related	TFF
k25_BTx623_TRINITY_GG_20082_c11_g1_i51.p1	MED26	OTR
k25_RTx430_TRINITY_GG_12647_c0_g1_i8.p1	Tify	TFF
k25_Mota_Maradi_TRINITY_DN1532_c0_g3_i1.p2	WRKY	TFF
k25_BTx623_TRINITY_GG_1319_c4_g1_i1.p1	GRAS	TFF
k25_BTx623_TRINITY_GG_13387_c7_g1_i4.p1	WRKY	TFF
k25_BAZ9504_TRINITY_DN100157_c0_g1_i1.p1	mTERF	OTR
k25_BTx623_TRINITY_GG_15757_c14_g1_i7.p1	TRAF	OTR
k25_BTx623_TRINITY_GG_16132_c3_g1_i10.p1	ARF	TFF
k25_R9188_TRINITY_DN4434_c0_g3_i1.p1	C2C2-GATA	TFF
k25_Tx378_TRINITY_DN17730_c0_g6_i1.p1	MYB-related	TFF
SC187_TRINITY_DN6168_c1_g2_i1.p1	Tify	TFF
k25_BTx623_TRINITY_GG_8224_c2_g1_i1.p1	bHLH	TFF
k25_RTx430_TRINITY_GG_18432_c0_g1_i11.p2	ABI3VP1	TFF
k25_BTx623_TRINITY_GG_16129_c3_g1_i2.p1	FHA	TFF
k25_BTx623_TRINITY_GG_5300_c46_g1_i31.p2	MYB-related	TFF
k25_BTx623_TRINITY_GG_8734_c17_g1_i12.p1	WRKY	TFF
k25_BTx623_TRINITY_GG_6521_c6_g1_i2.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_4133_c6_g1_i12.p2	bZIP	TFF
k31_BTx623_TRINITY_GG_10716_c0_g1_i11.p5	GNAT	OTR
k25_BTx623_TRINITY_GG_10812_c1_g1_i11.p1	GRAS	TFF
k25_RTx430_TRINITY_GG_7660_c0_g1_i1.p1	bHLH	TFF
k25_BTx623_TRINITY_GG_15386_c10_g1_i31.p1	Orphans	Orphans
k25_Rio_TRINITY_GG_17562_c2_g1_i61.p1	FAR1	TFF
k31_Tx378_TRINITY_DN1339_c0_g4_i1.p1	mTERF	OTR
k25_Rio_TRINITY_GG_3836_c12_g1_i14.p2	TUB	TFF
keller_TRINITY_DN4045_c0_g2_i2.p1	MYB-related	TFF
k31_BTx623_TRINITY_GG_10156_c1_g2_i1.p1	ABI3VP1	TFF
k31_BTx623_TRINITY_GG_7551_c4_g1_i188.p1	PAS	TFF
k25_BTx623_TRINITY_GG_13412_c9_g1_i2.p1	CPP	TFF
k31_RTx430_TRINITY_GG_9896_c0_g1_i148.p1	PHD	OTR
k25_BTx623_TRINITY_GG_294_c0_g2_i2.p1	C2C2-GATA	TFF
k25_Rio_TRINITY_GG_6375_c2_g1_i1.p2	TRAF	OTR
keller_TRINITY_DN5939_c1_g2_i1.p1	WRKY	TFF
k25_RTx430_TRINITY_GG_15984_c0_g1_i175.p2	Orphans	Orphans
k25_BTx623_TRINITY_GG_9763_c53_g2_i1.p1	TUB	TFF
k25_BTx623_TRINITY_GG_10627_c8_g1_i14.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_10804_c99_g1_i12.p1	AP2-EREBP	TFF
k25_Tx378_TRINITY_DN3400_c0_g2_i1.p1	bHLH	TFF
k25_Tx3362_TRINITY_DN7148_c0_g1_i1.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_9753_c13_g1_i12.p1	C3H	TFF
k25_Tx3362_TRINITY_DN36453_c0_g1_i1.p1	GNAT	OTR
k25_Rio_TRINITY_GG_27033_c4_g2_i5.p1	TRAF	OTR
k25_Rio_TRINITY_GG_19632_c0_g1_i30.p1	bZIP	TFF
k25_BTx623_TRINITY_GG_16874_c150_g1_i2.p1	NAC	TFF
k25_SM100_TRINITY_DN17342_c3_g1_i1.p1	WRKY	TFF
k31_BTx623_TRINITY_GG_6310_c0_g1_i4.p1	PHD	OTR
k25_RTx430_TRINITY_GG_752_c3_g1_i137.p2	MYB-related	TFF
k25_DKS-3707_TRINITY_DN7456_c0_g1_i2.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_13462_c1_g1_i7.p1	MYB-related	TFF
k25_Rio_TRINITY_GG_27137_c0_g1_i80.p1	ABI3VP1	TFF
k25_BTx623_TRINITY_GG_13973_c41_g1_i46.p1	zf-C5HC2	TFF
k25_BTx623_TRINITY_GG_6507_c5_g1_i4.p4	NAC	TFF
k31_BTx623_TRINITY_GG_2605_c11_g1_i82.p2	NAC	TFF
k25_BTx623_TRINITY_GG_9696_c0_g1_i7.p1	bHLH	TFF
k25_Tx378_TRINITY_DN3549_c1_g1_i2.p2	OFP	TFF
k31_RTx430_TRINITY_GG_22892_c1_g1_i19.p1	ARF	TFF
k25_Rio_TRINITY_GG_1194_c6_g1_i12.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_9027_c3_g1_i42.p1	SBP	TFF
k31_RTx430_TRINITY_GG_11435_c5_g1_i5.p1	mTERF	OTR
k25_BTx623_TRINITY_GG_18091_c4_g1_i1.p1	MYB	TFF
k25_BTx623_TRINITY_GG_10633_c2_g1_i37.p1	CCAAT	TFF
k25_RTx430_TRINITY_GG_3135_c1_g1_i17.p1	SAP	TFF
k31_R9188_TRINITY_DN14970_c0_g2_i5.p1	C2C2-GATA	TFF
k25_BTx623_TRINITY_GG_3698_c0_g1_i27.p1	C2H2	TFF
k25_BTx623_TRINITY_GG_6509_c171_g1_i1.p1	OFP	TFF
k25_BTx623_TRINITY_GG_2967_c7_g1_i10.p1	MYB	TFF
k31_Rio_TRINITY_GG_15761_c1_g1_i3.p1	AP2-EREBP	TFF
k25_BTx623_TRINITY_GG_6279_c47_g1_i1.p1	CPP	TFF
k25_BTx623_TRINITY_GG_16131_c59_g1_i6.p1	MADS	TFF
k25_BTx623_TRINITY_GG_12344_c1_g2_i8.p1	Orphans	Orphans
k25_Tx3362_TRINITY_DN6999_c5_g2_i1.p1	MYB	TFF
SC187_TRINITY_DN90752_c0_g1_i1.p1	ABI3VP1	TFF
k31_Tx378_TRINITY_DN7217_c0_g1_i6.p1	MYB	TFF
SC187_TRINITY_DN11168_c1_g1_i1.p1	AUX/IAA	OTR
k25_BTx623_TRINITY_GG_6441_c3_g1_i9.p1	Orphans	Orphans
k25_Tx7000_TRINITY_DN6382_c3_g2_i1.p1	C2C2-GATA	TFF
k25_BTx623_TRINITY_GG_913_c0_g1_i2.p1	zf-LSD1	TFF
k25_Tx378_TRINITY_DN4948_c0_g2_i1.p1	Orphans	Orphans
k25_Tx378_TRINITY_DN8528_c0_g1_i1.p1	MYB	TFF
k25_Tx7000_TRINITY_DN925_c0_g2_i1.p1	Orphans	Orphans
k31_Tx3362_TRINITY_DN12652_c2_g1_i3.p1	bHLH	TFF
k31_BTx623_TRINITY_GG_3936_c6_g1_i287.p2	MYB-related	TFF
k25_RTx430_TRINITY_GG_15638_c19_g1_i1.p1	OFP	TFF
k31_Mota_Maradi_TRINITY_DN76262_c0_g1_i1.p1	BSD	TFF
k25_BTx623_TRINITY_GG_12889_c0_g1_i4.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_10859_c0_g1_i10.p2	CCAAT	TFF
k25_BTx623_TRINITY_GG_5391_c9_g1_i35.p1	MADS	TFF
SC187_TRINITY_DN13391_c0_g4_i1.p1	BES1	TFF
k31_Tx3362_TRINITY_DN4198_c1_g1_i11.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_5941_c4_g3_i2.p1	C2H2	TFF
k25_RTx430_TRINITY_GG_4437_c0_g1_i34.p1	CCAAT	TFF
k25_RTx430_TRINITY_GG_26116_c0_g1_i88.p1	MYB	TFF
k25_BTx623_TRINITY_GG_20106_c206_g1_i3.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_8378_c5_g1_i25.p1	C2C2-YABBY	TFF
k25_BTx623_TRINITY_GG_10602_c39_g1_i55.p1	PHD	OTR
k25_BTx623_TRINITY_GG_387_c71_g1_i10.p1	GRAS	TFF
SC187_TRINITY_DN333_c1_g4_i2.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_11441_c0_g1_i1.p1	MADS	TFF
k25_RTx430_TRINITY_GG_24772_c2_g1_i1.p1	SET	OTR
k31_Rio_TRINITY_GG_2984_c0_g1_i22.p1	zf-C5HC2	TFF
k31_BTx623_TRINITY_GG_8177_c5_g1_i18.p3	ABI3VP1	TFF
k25_RTx430_TRINITY_GG_9791_c5_g1_i2.p1	WRKY	TFF
k25_Tx3362_TRINITY_DN16793_c0_g2_i1.p1	TCP	TFF
k25_BTx623_TRINITY_GG_653_c74_g1_i2.p2	NAC	TFF
k25_BTx623_TRINITY_GG_5704_c3_g1_i11.p1	Orphans	Orphans
k31_BAZ9504_TRINITY_DN1638_c0_g1_i1.p1	FAR1	TFF
k25_RTx430_TRINITY_GG_9447_c0_g1_i1.p4	GNAT	OTR
k25_RTx430_TRINITY_GG_6229_c4_g1_i21.p1	Orphans	Orphans
k25_Rio_TRINITY_GG_4387_c0_g1_i1.p1	MYB-related	TFF
k25_RTx430_TRINITY_GG_24131_c5_g1_i6.p1	MYB-related	TFF
k31_BTx623_TRINITY_GG_6359_c16_g2_i3.p1	AP2-EREBP	TFF
k25_R9188_TRINITY_DN1459_c0_g2_i2.p1	CCAAT	TFF
SC187_TRINITY_DN579_c3_g1_i1.p1	HB	TFF
keller_TRINITY_DN854_c0_g5_i1.p2	TRAF	OTR
k25_Rio_TRINITY_GG_27705_c0_g1_i33.p1	Orphans	Orphans
k31_BTx623_TRINITY_GG_4078_c8_g1_i3.p1	WRKY	TFF
k25_BAZ9504_TRINITY_DN8747_c1_g1_i8.p1	C2C2-Dof	TFF
k25_RTx430_TRINITY_GG_16460_c0_g1_i58.p1	MYB-related	TFF
k25_Mota_Maradi_TRINITY_DN5517_c1_g1_i1.p1	AP2-EREBP	TFF
k31_BTx623_TRINITY_GG_5613_c3_g1_i31.p2	PHD	OTR
k31_SM100_TRINITY_DN9618_c1_g1_i10.p2	Orphans	Orphans
k25_BTx623_TRINITY_GG_10624_c6_g1_i19.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_16874_c40_g1_i47.p1	WRKY	TFF
k25_RTx430_TRINITY_GG_17880_c0_g1_i12.p1	bHLH	TFF
k25_BTx623_TRINITY_GG_5296_c59_g1_i7.p1	RB	OTR
k25_BTx623_TRINITY_GG_10613_c0_g1_i4.p1	AP2-EREBP	TFF
k25_BTx623_TRINITY_GG_13784_c2_g1_i1.p1	AP2-EREBP	TFF
k25_BTx623_TRINITY_GG_15386_c137_g1_i2.p1	NAC	TFF
k31_BTx623_TRINITY_GG_7060_c8_g1_i41.p1	bZIP	TFF
k25_RTx430_TRINITY_GG_14541_c0_g1_i1.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_5181_c6_g1_i3.p1	NAC	TFF
k25_RTx430_TRINITY_GG_1651_c2_g1_i148.p1	PHD	OTR
k25_Mota_Maradi_TRINITY_DN5607_c2_g3_i2.p3	GRAS	TFF
k25_DKS-4420_TRINITY_DN20145_c0_g2_i2.p1	NAC	TFF
k31_BTx623_TRINITY_GG_12975_c4_g1_i12.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_12344_c1_g1_i101.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_11077_c1_g1_i4.p1	LIM	TFF
k31_BTx623_TRINITY_GG_6766_c5_g1_i2.p1	WRKY	TFF
k25_BTx623_TRINITY_GG_15386_c19_g1_i1.p1	C3H	TFF
SC187_TRINITY_DN13551_c1_g5_i2.p1	MADS	TFF
k25_BTx623_TRINITY_GG_17358_c22_g1_i2.p2	WRKY	TFF
k25_BTx623_TRINITY_GG_10623_c44_g1_i3.p2	bHLH	TFF
k25_Rio_TRINITY_GG_8341_c0_g1_i2.p2	Orphans	Orphans
M35-1_TRINITY_DN10229_c0_g2_i1.p1	AP2-EREBP	TFF
k25_BTx623_TRINITY_GG_4659_c14_g1_i7.p1	Orphans	Orphans
