Gene	Family
MT11-610_k31_TRINITY_DN83485_c0_g1_i2	NAC	TFF
RB72454_k25_TRINITY_DN5116_c0_g1_i3	MYB-related	TFF
QA96-1749_k31_TRINITY_DN14733_c0_g2_i1	AUX/IAA	OTR
LCP85-384_k25_TRINITY_DN17527_c0_g1_i3	MYB-related	TFF
MT11-610_k25_TRINITY_DN13178_c0_g1_i10	Orphans	Orphans
SP80-3280_CTBE_evm.model.SCSP803280_000009522.2	ABI3VP1	TFF
CC011940_cc_00020963-RA	CCAAT	TFF
LCP85-384_k31_TRINITY_DN16494_c0_g1_i7	WRKY	TFF
QS99-2014_k25_TRINITY_DN38698_c0_g1_i1	Orphans	Orphans
GN18_k25_TRINITY_DN26240_c0_g1_i10	ABI3VP1	TFF
ROC26_k25_TRINITY_DN3314_c0_g1_i1	zf-BED	TFF
ROC20_k31_TRINITY_DN8441_c0_g1_i5	ARF	TFF
F1_Bulk_2_k31_TRINITY_DN11794_c0_g2_i2	bHLH	TFF
MT11-610_k31_TRINITY_DN11904_c0_g2_i1	ABI3VP1	TFF
QN05-1509_k25_TRINITY_DN5735_c0_g1_i1	bZIP	TFF
MT11-610_k25_TRINITY_DN41288_c0_g2_i5	C3H	TFF
MS6847_k31_TRINITY_DN10810_c0_g1_i3	zf-fF-X1	TFF
KQ08-2850_k31_TRINITY_DN635_c0_g1_i19	TIG	TFF
QN05-1509_k31_TRINITY_DN13749_c0_g1_i7	Orphans	Orphans
SP80-3280_Mattielo_SP803280_c117031_g1_i2	FAR1	TFF
ROC22_k25_TRINITY_DN133311_c0_g1_i6	bHLH	TFF
QN05-1743_k31_TRINITY_DN4784_c0_g1_i1	MYB-related	TFF
KQB09-23137_k25_TRINITY_DN43443_c0_g1_i1	mTERF	OTR
KQB09-20432_k25_TRINITY_DN3898_c0_g2_i6	bHLH	TFF
LCP85-384_k31_TRINITY_DN9164_c0_g1_i1	NAC	TFF
SP80-3280_CTBE_evm.model.SCSP803280_000003608.1	bHLH	TFF
KQB09-23137_k25_TRINITY_DN7177_c0_g1_i7	FAR1	TFF
CC011940_cc_00004931-RA	Orphans	Orphans
R570_ASM_Sh02_p018540	zf-A20	TFF
ROC26_k25_TRINITY_DN12114_c0_g1_i2	FAR1	TFF
QA02-1009_k31_TRINITY_DN9549_c0_g1_i11	ABI3VP1	TFF
KQB07-24619_k31_TRINITY_DN3738_c0_g1_i1	Orphans	Orphans
ROC26_k25_TRINITY_DN14400_c0_g2_i1	ABI3VP1	TFF
RB855156_k31_TRINITY_DN10068_c0_g1_i11	E2F-DP	TFF
GN18_k25_TRINITY_DN10950_c0_g1_i10	zf-LSD1	TFF
RB855156_k25_TRINITY_DN18453_c0_g1_i4	Orphans	Orphans
KQ08-2850_k25_TRINITY_DN1284_c0_g1_i6	AUX/IAA	OTR
SP80-3280_IQUSP_evm.model.uti_cns_0126501.1	WRKY	TFF
KQB07-23863_k31_TRINITY_DN2067_c0_g4_i1	Orphans	Orphans
KQB08-32953_k31_TRINITY_DN27147_c0_g1_i1	RWP-RK	TFF
SP80-3280_IQUSP_evm.model.uti_cns_0037328.2	ABI3VP1	TFF
ROC20_k25_TRINITY_DN9100_c2_g1_i2	C2C2-Dof	TFF
F1_Bulk_2_k25_TRINITY_DN40404_c0_g1_i1	MYB-related	TFF
QBYN04-26041_k25_TRINITY_DN2231_c0_g1_i2	bHLH	TFF
QA96-1749_k25_TRINITY_DN4788_c0_g1_i3	Orphans	Orphans
Co06022_k25_TRINITY_DN11695_c0_g1_i1	AP2-EREBP	TFF
SP80-3280_IQUSP_evm.model.uti_cns_0007535.7	TRAF	OTR
SP80-3280_CTBE_evm.model.SCSP803280_000004722.3	MADS	TFF
Q241_k25_TRINITY_DN1872_c0_g1_i7	Orphans	Orphans
SP80-3280_IQUSP_evm.model.uti_cns_0279471.1	PHD	OTR
SP80-3280_IQUSP_evm.model.uti_cns_0313602.2	WRKY	TFF
CC011940_cc_00008811-RA	HSF	TFF
R570_ASM_Sh03_p031050	bHLH	TFF
MT11-610_k25_TRINITY_DN39105_c0_g1_i8	GRAS	TFF
CC011940_cc_00052910-RA	OFP	TFF
ROC22_k31_TRINITY_DN68005_c0_g1_i6	WRKY	TFF
QN05-1460_k25_TRINITY_DN2777_c0_g1_i2	Orphans	Orphans
LCP85-384_k25_TRINITY_DN3140_c1_g1_i1	MED26	OTR
QN05-1743_k25_TRINITY_DN1857_c0_g1_i6	Jumonji	OTR
ROC20_k25_TRINITY_DN3243_c0_g1_i1	zf-HD	TFF
KQB07-24619_k31_TRINITY_DN1085_c0_g1_i6	MYB-related	TFF
F1_Bulk_1_k31_TRINITY_DN57816_c0_g1_i2	TRAF	OTR
KQB09-20620_k25_TRINITY_DN12246_c0_g1_i10	MYB-related	TFF
MT11-610_k31_TRINITY_DN108328_c0_g1_i1	TRAF	OTR
LCP85-384_k25_TRINITY_DN10111_c0_g1_i4	bZIP	TFF
MS6847_k31_TRINITY_DN6012_c0_g2_i1	SBP	TFF
F1_Bulk_2_k25_TRINITY_DN66927_c0_g1_i1	ABI3VP1	TFF
SP80-3280_Mattielo_SP803280_c104195_g2_i2	AUX/IAA	OTR
R570_ASM_Sh03_p000090	NAC	TFF
CoV92102_k31_TRINITY_DN9541_c0_g2_i1	C2H2	TFF
GT96-167_k25_TRINITY_DN8604_c0_g1_i2	AUX/IAA	OTR
KQB07-24619_k25_TRINITY_DN21392_c0_g1_i2	AP2-EREBP	TFF
ROC20_k31_TRINITY_DN41646_c1_g1_i1	bHLH	TFF
QC02-402_k31_TRINITY_DN20957_c1_g1_i5	TAZ	TFF
R570_BAC_Sh_213B20_p000030	Orphans	Orphans
QA02-1009_k31_TRINITY_DN5864_c0_g1_i8	Orphans	Orphans
CC011940_cc_00012799-RA	FAR1	TFF
MS6847_k25_TRINITY_DN33631_c0_g1_i2	Orphans	Orphans
QN05-803_k25_TRINITY_DN1668_c0_g1_i1	zf-MIZ	OTR
F1_Bulk_2_k31_TRINITY_DN6823_c0_g1_i2	zf-fF-X1	TFF
T1_k25_TRINITY_DN62089_c0_g1_i1	MYB-related	TFF
R570_ASM_Sh04_p021840	AP2-EREBP	TFF
KQB09-20620_k25_TRINITY_DN11069_c0_g1_i3	SAP	TFF
CC011940_cc_00019042-RA	bHLH	TFF
ROC22_k25_TRINITY_DN34352_c0_g1_i11	TUB	TFF
US851008_k31_TRINITY_DN6659_c1_g1_i5	ABI3VP1	TFF
ROC22_k31_TRINITY_DN18844_c0_g1_i5	zf-LSD1	TFF
Q241_k25_TRINITY_DN27728_c0_g2_i1	CPP	TFF
QC02-402_k25_TRINITY_DN12439_c0_g1_i1	ABI3VP1	TFF
ROC26_k25_TRINITY_DN10741_c0_g1_i4	Orphans	Orphans
B2_k25_TRINITY_DN5196_c0_g1_i5	bZIP	TFF
TUC717_k25_TRINITY_DN32300_c0_g1_i1	FAR1	TFF
ROC20_k31_TRINITY_DN1513_c0_g4_i1	MYB-related	TFF
MT11-610_k31_TRINITY_DN7963_c0_g1_i5	MYB-related	TFF
CP74-2005_k31_TRINITY_DN33601_c0_g1_i5	zf-BED	TFF
LCP85-384_k31_TRINITY_DN9512_c0_g1_i3	FHA	TFF
SP80-3280_IQUSP_evm.model.uti_cns_0044308.1	MYB	TFF
KQB07-24619_k31_TRINITY_DN2068_c0_g1_i8	WRKY	TFF
T1_k31_TRINITY_DN17995_c0_g2_i1	AUX/IAA	OTR
SP80-3280_IQUSP_evm.model.unitig_418592.1	bHLH	TFF
ROC22_k31_TRINITY_DN5860_c0_g1_i1	Orphans	Orphans
F1_Bulk_1_k25_TRINITY_DN8653_c0_g2_i7	bHLH	TFF
QN05-1509_k31_TRINITY_DN3873_c0_g1_i8	Orphans	Orphans
SP80-3280_IQUSP_evm.model.uti_cns_0105242.2	ABI3VP1	TFF
MS6847_k31_TRINITY_DN5970_c0_g2_i6	PHD	OTR
GUC10_k31_TRINITY_DN12686_c0_g2_i1	Orphans	Orphans
CP74-2005_k25_TRINITY_DN23924_c0_g1_i4	GRAS	TFF
B2_k31_TRINITY_DN12664_c0_g1_i2	zf-HD	TFF
CC011940_cc_00020005-RA	Orphans	Orphans
ROC22_k31_TRINITY_DN4339_c0_g1_i2	MED26	OTR
Co06022_k31_TRINITY_DN3936_c0_g1_i4	HMG	OTR
MT11-610_k31_TRINITY_DN35579_c0_g1_i1	bHLH	TFF
CC011940_cc_00036334-RA	AP2-EREBP	TFF
F1_Bulk_2_k25_TRINITY_DN9424_c0_g3_i3	bHLH	TFF
ROC20_k25_TRINITY_DN92331_c0_g1_i6	TRAF	OTR
B2_k31_TRINITY_DN5205_c1_g1_i1	TCP	TFF
Co8021_k25_TRINITY_DN19104_c0_g2_i1	ARF	TFF
GUC2_k31_TRINITY_DN44029_c0_g1_i1	TRAF	OTR
CC011940_cc_00043187-RA	ABI3VP1	TFF
LCP85-384_k25_TRINITY_DN3461_c0_g1_i2	ARF	TFF
MT11-610_k31_TRINITY_DN34960_c0_g1_i2	Tify	TFF
KQ08-2850_k31_TRINITY_DN2890_c0_g1_i12	ABI3VP1	TFF
US851008_k31_TRINITY_DN21018_c0_g1_i4	GNAT	OTR
ROC20_k31_TRINITY_DN41015_c0_g1_i12	Orphans	Orphans
CP74-2005_k31_TRINITY_DN47686_c0_g1_i7	Orphans	Orphans
MT11-610_k25_TRINITY_DN124255_c0_g1_i1	CCAAT	TFF
SP80-3280_IQUSP_evm.model.unitig_26058.1	Orphans	Orphans
CP74-2005_k25_TRINITY_DN16059_c0_g1_i1	CCAAT	TFF
SP80-3280_IQUSP_evm.model.uti_cns_0171754.1	MYB	TFF
Q200_k25_TRINITY_DN11701_c0_g2_i1	FAR1	TFF
ROC26_k25_TRINITY_DN21662_c0_g1_i2	FAR1	TFF
KQB09-20620_k31_TRINITY_DN3409_c1_g1_i12	Orphans	Orphans
B2_k31_TRINITY_DN3206_c0_g2_i2	HB	TFF
MS6847_k31_TRINITY_DN58877_c0_g1_i2	FAR1	TFF
QN05-1743_k25_TRINITY_DN23623_c0_g1_i1	CCAAT	TFF
MT11-610_k31_TRINITY_DN42061_c0_g1_i6	Orphans	Orphans
CC011940_Sobic.004G168100.1.mrna1	MADS	TFF
MT11-610_k25_TRINITY_DN10924_c0_g1_i5	Orphans	Orphans
QN05-803_k31_TRINITY_DN20222_c0_g1_i3	NAC	TFF
US851008_k25_TRINITY_DN6250_c0_g1_i9	MYB-related	TFF
CC011940_Sobic.004G094600.3.mrna1	bHLH	TFF
LCP85-384_k31_TRINITY_DN21114_c0_g1_i2	Orphans	Orphans
QA02-1009_k25_TRINITY_DN4792_c0_g1_i10	C2H2	TFF
B2_k31_TRINITY_DN3539_c0_g1_i4	SET	OTR
QN05-1509_k25_TRINITY_DN1769_c0_g1_i5	Orphans	Orphans
QS99-2014_k31_TRINITY_DN3701_c0_g1_i1	Orphans	Orphans
QA96-1749_k25_TRINITY_DN1194_c0_g2_i3	C3H	TFF
GUC10_k25_TRINITY_DN17926_c0_g2_i1	Jumonji	OTR
ROC20_k25_TRINITY_DN27531_c0_g1_i3	WRKY	TFF
CP74-2005_k31_TRINITY_DN3088_c0_g2_i10	SBP	TFF
LCP85-384_k31_TRINITY_DN10697_c0_g1_i4	MYB	TFF
SP80-3280_CTBE_evm.model.SCSP803280_000030473.1	TRAF	OTR
ROC20_k25_TRINITY_DN13020_c0_g1_i3	DDT	OTR
Co8021_k31_TRINITY_DN6344_c0_g1_i6	Orphans	Orphans
CP74-2005_k25_TRINITY_DN198911_c0_g1_i1	FAR1	TFF
GXU-34140_k31_TRINITY_DN55507_c0_g1_i1	WRKY	TFF
GXU-34176_k31_TRINITY_DN1572_c0_g1_i1	AP2-EREBP	TFF
SP80-3280_CTBE_evm.model.SCSP803280_000035876.1	GRAS	TFF
MT11-610_k25_TRINITY_DN22597_c0_g3_i6	HSF	TFF
ROC26_k25_TRINITY_DN8733_c0_g1_i8	CCAAT	TFF
TUC717_k31_TRINITY_DN730_c0_g1_i1	Orphans	Orphans
US851008_k31_TRINITY_DN2978_c0_g1_i3	MADS	TFF
R570_ASM_Sh03_p030970	SET	OTR
ROC22_k25_TRINITY_DN177006_c0_g1_i1	mTERF	OTR
MT11-610_k25_TRINITY_DN13194_c0_g1_i10	SWI/SNF-BAF60b	OTR
F1_Bulk_1_k31_TRINITY_DN49851_c0_g1_i7	MYB	TFF
R570_BAC_Sh_227E07_contig-1_p000040	Orphans	Orphans
ROC26_k25_TRINITY_DN12761_c1_g1_i4	ABI3VP1	TFF
KQB08-32953_k25_TRINITY_DN1929_c0_g1_i3	bZIP	TFF
F1_Bulk_2_k31_TRINITY_DN18431_c0_g1_i4	MYB	TFF
B1_k25_TRINITY_DN33867_c0_g1_i6	mTERF	OTR
MT11-610_k31_TRINITY_DN1227_c1_g1_i4	MYB-related	TFF
QS99-2014_k31_TRINITY_DN3032_c0_g2_i7	zf-C5HC2	TFF
LCP85-384_k25_TRINITY_DN37583_c0_g1_i1	ABI3VP1	TFF
R570_BAC_Sh_247I24_p000020	SAP	TFF
T2_k31_TRINITY_DN51674_c0_g1_i1	bZIP	TFF
R570_ASM_Sh09_p015910	AUX/IAA	OTR
QA96-1749_k25_TRINITY_DN719_c0_g1_i10	Orphans	Orphans
F1_Bulk_2_k25_TRINITY_DN2925_c0_g1_i2	Tify	TFF
Co06022_k25_TRINITY_DN9294_c0_g1_i1	Orphans	Orphans
CP74-2005_k31_TRINITY_DN46117_c0_g2_i1	C3H	TFF
MT11-610_k31_TRINITY_DN9652_c0_g1_i4	Orphans	Orphans
ROC22_k31_TRINITY_DN7946_c0_g1_i6	mTERF	OTR
SP80-3280_CTBE_evm.model.SCSP803280_000113771.1	RB	OTR
R570_ASM_Sh01_p014150	GRAS	TFF
SP80-3280_IQUSP_evm.model.uti_cns_0354829.3	bZIP	TFF
R570_BAC_Sh_233M23_p000010	Tify	TFF
MS6847_k31_TRINITY_DN6012_c0_g2_i2	SBP	TFF
MT11-610_k31_TRINITY_DN42014_c0_g1_i3	HB	TFF
Q200_k25_TRINITY_DN14543_c0_g1_i1	zf-BED	TFF
Co8021_k25_TRINITY_DN6457_c0_g1_i13	Orphans	Orphans
ROC20_k31_TRINITY_DN64934_c0_g1_i7	C2C2-GATA	TFF
SP80-3280_Mattielo_SP803280_c91009_g1_i2	C2H2	TFF
R570_ASM_Sh01_p034040	LIM	TFF
ROC20_k25_TRINITY_DN596_c1_g1_i4	BES1	TFF
F1_Bulk_2_k25_TRINITY_DN1538_c0_g2_i1	C2C2-GATA	TFF
Co8021_k25_TRINITY_DN3308_c0_g2_i1	zf-BED	TFF
GUC2_k31_TRINITY_DN37931_c0_g1_i1	Jumonji	OTR
KQB09-23137_k25_TRINITY_DN7655_c0_g1_i8	bZIP	TFF
F1_Bulk_1_k31_TRINITY_DN14815_c0_g1_i7	OFP	TFF
Co8021_k31_TRINITY_DN3180_c0_g3_i1	C2C2-Dof	TFF
FN95-1702_k25_TRINITY_DN13076_c1_g1_i2	FHA	TFF
CoV92102_k31_TRINITY_DN16670_c0_g1_i14	MYB-related	TFF
SP80-3280_Mattielo_SP803280_c77776_g1_i1	NAC	TFF
ROC22_k25_TRINITY_DN24980_c0_g1_i6	GRAS	TFF
RB855156_k31_TRINITY_DN2696_c0_g1_i2	Tify	TFF
B1_k31_TRINITY_DN6227_c0_g1_i2	HSF	TFF
GXU-34140_k31_TRINITY_DN14279_c0_g2_i4	MYB-related	TFF
CP74-2005_k31_TRINITY_DN17447_c0_g2_i12	PLATZ	TFF
QA02-1009_k31_TRINITY_DN5923_c0_g1_i5	MYB-related	TFF
ROC26_k25_TRINITY_DN58298_c0_g1_i1	bZIP	TFF
KQB07-23990_k31_TRINITY_DN1884_c0_g1_i4	C3H	TFF
GXU-34140_k31_TRINITY_DN1366_c0_g1_i1	NAC	TFF
MT11-610_k25_TRINITY_DN37344_c0_g1_i6	GRF	TFF
T1_k25_TRINITY_DN1100_c0_g1_i6	HSF	TFF
CoV92102_k25_TRINITY_DN12009_c0_g1_i1	ARF	TFF
CP74-2005_k31_TRINITY_DN34032_c0_g1_i5	zf-BED	TFF
B1_k25_TRINITY_DN1636_c1_g1_i1	Orphans	Orphans
ROC22_k31_TRINITY_DN14652_c0_g2_i4	MYB-related	TFF
MT11-610_k31_TRINITY_DN74209_c0_g2_i3	WRKY	TFF
ROC22_k31_TRINITY_DN594_c0_g1_i2	Orphans	Orphans
Co06022_k25_TRINITY_DN1034_c0_g1_i11	WRKY	TFF
GN18_k25_TRINITY_DN11343_c0_g2_i2	MYB-related	TFF
QN05-803_k25_TRINITY_DN3482_c0_g1_i5	SET	OTR
QS99-2014_k25_TRINITY_DN9998_c0_g1_i1	AUX/IAA	OTR
GT96-167_k25_TRINITY_DN5836_c0_g2_i3	GRAS	TFF
MS6847_k25_TRINITY_DN15291_c0_g1_i2	MYB-related	TFF
F1_Bulk_2_k31_TRINITY_DN22659_c0_g1_i7	WRKY	TFF
GN18_k25_TRINITY_DN113399_c0_g1_i1	FAR1	TFF
GUC10_k25_TRINITY_DN6900_c0_g1_i6	bHLH	TFF
US851008_k25_TRINITY_DN454_c1_g1_i7	Orphans	Orphans
GN18_k31_TRINITY_DN11398_c0_g1_i1	MYB-related	TFF
ROC20_k25_TRINITY_DN250_c1_g1_i4	OFP	TFF
QA02-1009_k31_TRINITY_DN1187_c0_g3_i2	GNAT	OTR
KQ08-2850_k25_TRINITY_DN16545_c0_g1_i6	Orphans	Orphans
GXU-34140_k31_TRINITY_DN5538_c0_g3_i4	Orphans	Orphans
LCP85-384_k25_TRINITY_DN3102_c0_g4_i1	CCAAT	TFF
ROC22_k25_TRINITY_DN27626_c0_g1_i8	WRKY	TFF
CC011940_cc_00016421-RA	ABI3VP1	TFF
FN95-1702_k31_TRINITY_DN1765_c0_g2_i3	TUB	TFF
CP74-2005_k31_TRINITY_DN17871_c0_g1_i16	TUB	TFF
LCP85-384_k31_TRINITY_DN10673_c0_g1_i19	Orphans	Orphans
R570_BAC_Sh_239C09_p000060	Orphans	Orphans
SP80-3280_Mattielo_SP803280_c73477_g2_i2	TRAF	OTR
KQB07-24739_k25_TRINITY_DN32700_c0_g1_i1	TRAF	OTR
RB72454_k25_TRINITY_DN546_c0_g1_i2	ARF	TFF
SP80-3280_CTBE_evm.model.SCSP803280_000037314.2	TRAF	OTR
CP74-2005_k31_TRINITY_DN14634_c0_g2_i1	SBP	TFF
CoV92102_k25_TRINITY_DN15007_c0_g1_i1	Orphans	Orphans
ROC22_k25_TRINITY_DN15448_c0_g1_i2	HB	TFF
CoV92102_k31_TRINITY_DN12820_c0_g1_i5	AUX/IAA	OTR
F1_Bulk_1_k31_TRINITY_DN71006_c0_g1_i1	BES1	TFF
QA02-1009_k25_TRINITY_DN9047_c0_g1_i1	MYB-related	TFF
SP80-3280_CTBE_evm.model.SCSP803280_000022433.3	Orphans	Orphans
ROC20_k31_TRINITY_DN23607_c0_g2_i1	Orphans	Orphans
QA02-1009_k31_TRINITY_DN3612_c0_g1_i18	ARF	TFF
SP80-3280_CTBE_evm.model.SCSP803280_000029868.4	Orphans	Orphans
Q200_k31_TRINITY_DN22944_c0_g1_i13	Orphans	Orphans
B2_k25_TRINITY_DN7729_c0_g1_i5	MADS	TFF
MT11-610_k31_TRINITY_DN28343_c0_g1_i1	MYB-related	TFF
ROC20_k25_TRINITY_DN83649_c0_g2_i1	Orphans	Orphans
ROC22_k25_TRINITY_DN25415_c0_g1_i2	ABI3VP1	TFF
R570_BAC_Sh_245F21_p000090	MYB-related	TFF
Q200_k25_TRINITY_DN57709_c0_g1_i1	ABI3VP1	TFF
ROC26_k25_TRINITY_DN12124_c0_g1_i4	C2C2-YABBY	TFF
QN05-803_k31_TRINITY_DN2077_c0_g1_i4	SAP	TFF
QN05-1509_k31_TRINITY_DN10533_c0_g1_i3	GRAS	TFF
CoV92102_k31_TRINITY_DN49957_c0_g1_i1	MYB-related	TFF
QS99-2014_k25_TRINITY_DN3712_c0_g1_i4	zf-fF-X1	TFF
F1_Bulk_2_k31_TRINITY_DN13042_c0_g1_i5	GRAS	TFF
T2_k25_TRINITY_DN1030_c0_g1_i1	CPP	TFF
KQB07-23990_k25_TRINITY_DN45185_c0_g1_i1	Orphans	Orphans
ROC22_k31_TRINITY_DN7745_c0_g1_i3	mTERF	OTR
SP80-3280_Mattielo_SP803280_c101270_g2_i1	GRAS	TFF
ROC22_k31_TRINITY_DN53372_c0_g1_i1	NAC	TFF
ROC26_k31_TRINITY_DN1819_c0_g1_i4	WRKY	TFF
B1_k25_TRINITY_DN42182_c0_g1_i2	MYB-related	TFF
CP74-2005_k31_TRINITY_DN9967_c0_g1_i1	Orphans	Orphans
T1_k25_TRINITY_DN12966_c0_g1_i1	HB	TFF
KQB09-20620_k31_TRINITY_DN373_c0_g1_i1	Orphans	Orphans
CoV92102_k31_TRINITY_DN12666_c0_g1_i2	Orphans	Orphans
FN95-1702_k25_TRINITY_DN29798_c0_g1_i4	PHD	OTR
F1_Bulk_2_k25_TRINITY_DN27283_c0_g1_i3	Orphans	Orphans
ROC20_k25_TRINITY_DN10739_c0_g1_i2	C2C2-YABBY	TFF
MT11-610_k25_TRINITY_DN92288_c0_g1_i1	Orphans	Orphans
ROC26_k25_TRINITY_DN27925_c0_g1_i6	Orphans	Orphans
F1_Bulk_1_k25_TRINITY_DN8005_c0_g1_i2	FAR1	TFF
Co8021_k25_TRINITY_DN23422_c1_g1_i6	GNAT	OTR
QN05-1460_k25_TRINITY_DN12799_c0_g1_i2	FAR1	TFF
ROC22_k31_TRINITY_DN2140_c0_g1_i1	Orphans	Orphans
KQB09-23137_k31_TRINITY_DN49404_c0_g2_i2	WRKY	TFF
CC011940_cc_00040218-RA	bHLH	TFF
SP80-3280_IQUSP_evm.model.uti_cns_0142872.1	C2H2	TFF
QN05-1509_k25_TRINITY_DN5450_c0_g1_i9	C3H	TFF
RB72454_k31_TRINITY_DN22198_c0_g1_i1	PHD	OTR
MT11-610_k31_TRINITY_DN119_c2_g1_i8	AP2-EREBP	TFF
CoV92102_k31_TRINITY_DN35758_c0_g1_i1	GRAS	TFF
R570_ASM_Sh07_p012360	AP2-EREBP	TFF
LCP85-384_k31_TRINITY_DN2708_c0_g1_i4	MYB-related	TFF
QN05-1509_k31_TRINITY_DN2731_c0_g1_i8	SAP	TFF
F1_Bulk_1_k25_TRINITY_DN71820_c0_g2_i1	AP2-EREBP	TFF
ROC20_k31_TRINITY_DN41144_c0_g1_i1	Orphans	Orphans
