Module,trait,rho,p,bonferroni
1938,sweet,0.869191869206394,2.35731530419794e-36,1.06951395351461e-32
1984,sweet,0.841150547734886,6.04306922851884e-32,2.741740508979e-28
2155,sweet,0.824141645274349,1.14337977766098e-29,5.18751405124785e-26
2213,sweet,0.844356966832101,2.0988182135747e-32,9.52233823498843e-29
2245,sweet,0.833182340826392,7.58308693953701e-31,3.44044654446794e-27
2272,sweet,0.867879776493548,3.98777878168209e-36,1.80925523324917e-32
2291,sweet,0.865298926053544,1.10348687421199e-35,5.00651994829981e-32
2299,sweet,0.836474342805897,2.71099982256944e-31,1.22998061949975e-27
2303,sweet,0.832534438575985,9.26016455785e-31,4.20133665989655e-27
2372,sweet,0.820194065921679,3.56271976979032e-29,1.61640595955387e-25
2400,sweet,0.808402741148416,9.05739795433377e-28,4.10934145188123e-24
2409,sweet,0.801715819410711,5.14512688389729e-27,2.3343440672242e-23
2517,sweet,0.822517259119757,1.83137299272656e-29,8.30893926800042e-26
2679,sweet,0.82853206319992,3.12286486332355e-30,1.4168437884899e-26
2796,sweet,0.817011658131417,8.72939990860879e-29,3.96052873853581e-25
2807,sweet,0.852647705246211,1.21541381784763e-33,5.51433249157472e-30
2810,sweet,0.894318795290738,2.84432309485875e-41,1.29046938813742e-37
2888,sweet,0.841949369535305,4.65364235171915e-32,2.11135753497498e-28
2914,sweet,0.83404147069114,5.81043007080721e-31,2.63619212312523e-27
2929,sweet,0.83607142793438,3.07846415284181e-31,1.39669918614433e-27
3041,sweet,0.819093090328022,4.86735270872466e-29,2.20831792394838e-25
3234,sweet,-0.869959659422614,1.72850123433344e-36,7.84221010017081e-33
3244,sweet,0.824353226304614,1.07494920179434e-29,4.8770445285409e-26
3254,sweet,-0.824770266647624,9.51597016589057e-30,4.31739566426455e-26
3373,sweet,0.851257314690143,1.98354220294987e-33,8.99933097478355e-30
3525,sweet,0.809129730074352,7.46799138596031e-28,3.38822769181019e-24
3534,sweet,0.858423837373468,1.50321826542032e-34,6.82010127021201e-31
3584,sweet,0.847934396325488,6.26837356949336e-33,2.84396108847914e-29
3593,sweet,0.824033767856639,1.17989227913013e-29,5.3531712704134e-26
3602,sweet,0.85332251755479,9.56520760448047e-34,4.33973469015279e-30
3633,sweet,0.862209263449303,3.63139744892193e-35,1.64756502257588e-31
3671,sweet,0.822239504763196,1.98404021491306e-29,9.00159045506054e-26
3695,sweet,0.88944069277097,3.16443198175795e-40,1.43570279012358e-36
3908,sweet,0.872367333951783,6.44913164679838e-37,2.92597102815243e-33
3927,sweet,0.904635964391299,1.15276273882452e-43,5.23008454604686e-40
3945,sweet,0.806698780528906,1.41913632986687e-27,6.43862152860598e-24
4022,sweet,0.860519693488018,6.88145498270873e-35,3.12211612565495e-31
4133,sweet,0.850031945852576,3.04174267589694e-33,1.38003865205444e-29
4141,sweet,0.822763802000427,1.70553213075715e-29,7.73799927724519e-26
4153,sweet,0.805674308348722,1.8550121997437e-27,8.41619035023715e-24
4185,sweet,0.80774780365053,1.07694140954303e-27,4.88608317509671e-24
4218,sweet,0.841699864433902,5.05010208812329e-32,2.29123131738154e-28
4248,sweet,0.841699864433902,5.05010208812329e-32,2.29123131738154e-28
